Czas,Temperatura procesora,Zużycie procesora
 08-06-2024 17:04:24,66,100
 08-06-2024 17:04:24,66,100
 08-06-2024 17:04:24,65,100
 08-06-2024 17:04:24,66,100
 08-06-2024 17:04:24,66,100
 08-06-2024 17:04:24,66,100
 08-06-2024 17:04:24,66,100
 08-06-2024 17:04:24,66,100
 08-06-2024 17:04:25,65,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:25,66,100
 08-06-2024 17:04:26,66,100
 08-06-2024 17:04:26,66,100
 08-06-2024 17:04:26,66,100
 08-06-2024 17:04:26,66,100
 08-06-2024 17:04:26,66,100
 08-06-2024 17:04:26,66,100
 08-06-2024 17:04:26,65,100
 08-06-2024 17:04:26,66,100
 08-06-2024 17:04:26,66,100
 08-06-2024 17:04:26,67,100
 08-06-2024 17:04:27,66,100
 08-06-2024 17:04:27,65,100
 08-06-2024 17:04:27,65,100
 08-06-2024 17:04:27,66,100
 08-06-2024 17:04:27,65,100
 08-06-2024 17:04:27,66,100
 08-06-2024 17:04:27,65,100
 08-06-2024 17:04:27,65,100
 08-06-2024 17:04:27,66,100
 08-06-2024 17:04:27,66,100
 08-06-2024 17:04:28,66,100
 08-06-2024 17:04:28,66,100
 08-06-2024 17:04:28,66,100
 08-06-2024 17:04:28,65,100
 08-06-2024 17:04:28,66,100
 08-06-2024 17:04:28,66,100
 08-06-2024 17:04:28,66,100
 08-06-2024 17:04:28,64,100
 08-06-2024 17:04:28,65,100
 08-06-2024 17:04:29,66,100
 08-06-2024 17:04:29,64,100
 08-06-2024 17:04:29,67,100
 08-06-2024 17:04:29,66,100
 08-06-2024 17:04:29,66,100
 08-06-2024 17:04:29,65,100
 08-06-2024 17:04:29,66,100
 08-06-2024 17:04:29,66,100
 08-06-2024 17:04:29,66,100
 08-06-2024 17:04:29,66,100
 08-06-2024 17:04:30,66,100
 08-06-2024 17:04:30,66,100
 08-06-2024 17:04:30,65,100
 08-06-2024 17:04:30,66,100
 08-06-2024 17:04:30,66,100
 08-06-2024 17:04:30,66,100
