Czas,Temperatura procesora,Zużycie procesora
 07-06-2024 22:08:58,51,10.453
 07-06-2024 22:08:59,51,9.848
 07-06-2024 22:09:00,47,7.24
 07-06-2024 22:09:01,48,10.662
 07-06-2024 22:09:02,45,6.317
 07-06-2024 22:09:03,52,11.397
 07-06-2024 22:09:04,47,8.775
 07-06-2024 22:09:05,50,10.042
 07-06-2024 22:09:06,47,7.158
 07-06-2024 22:09:07,48,8.778
 07-06-2024 22:09:08,52,14.542
 07-06-2024 22:09:09,46,7.907
 07-06-2024 22:09:10,51,9.777
 07-06-2024 22:09:11,46,9.493
 07-06-2024 22:09:12,51,7.631
 07-06-2024 22:09:13,46,9.045
 07-06-2024 22:09:14,54,7.211
 07-06-2024 22:09:15,54,13.056
 07-06-2024 22:09:16,45,5.977
 07-06-2024 22:09:17,47,8.591
 07-06-2024 22:09:18,46,11.96
 07-06-2024 22:09:19,50,6.462
 07-06-2024 22:09:20,45,9.542
 07-06-2024 22:09:21,50,15.171
 07-06-2024 22:09:22,47,15.027
 07-06-2024 22:09:23,46,6.143
 07-06-2024 22:09:24,50,8.309
 07-06-2024 22:09:25,45,10.013
 07-06-2024 22:09:26,49,9.173
 07-06-2024 22:09:27,46,8.018
 07-06-2024 22:09:28,49,8.517
 07-06-2024 22:09:29,47,13.176
 07-06-2024 22:09:30,51,8.91
 07-06-2024 22:09:31,52,12.559
 07-06-2024 22:09:32,49,9.765
 07-06-2024 22:09:33,51,10.879
 07-06-2024 22:09:34,44,7.173
 07-06-2024 22:09:35,51,11.049
 07-06-2024 22:09:36,45,6.011
 07-06-2024 22:09:37,52,6.625
 07-06-2024 22:09:38,45,6.908
 07-06-2024 22:09:39,50,6.771
 07-06-2024 22:09:40,46,8.752
 07-06-2024 22:09:41,56,11.19
 07-06-2024 22:09:42,51,13.444
 07-06-2024 22:09:43,45,11.38
 07-06-2024 22:09:44,48,7.466
 07-06-2024 22:09:45,46,8.388
 07-06-2024 22:09:46,48,6.989
 07-06-2024 22:09:47,47,6.708
 07-06-2024 22:09:48,50,5.026
 07-06-2024 22:09:49,50,8.636
 07-06-2024 22:09:50,46,8.03
 07-06-2024 22:09:51,48,8.218
 07-06-2024 22:09:52,47,6.751
 07-06-2024 22:09:53,54,7.244
 07-06-2024 22:09:54,44,7.451
 07-06-2024 22:09:55,49,7.616
 07-06-2024 22:09:56,47,8.384
 07-06-2024 22:09:57,47,5.584
 07-06-2024 22:09:58,45,8.075
 07-06-2024 22:09:59,48,4.965
 07-06-2024 22:10:00,47,8.808
 07-06-2024 22:10:01,45,6.541
 07-06-2024 22:10:02,47,8.237
 07-06-2024 22:10:03,46,5.948
 07-06-2024 22:10:04,47,9.653
 07-06-2024 22:10:05,45,7.271
 07-06-2024 22:10:06,51,6.318
 07-06-2024 22:10:07,45,8.092
 07-06-2024 22:10:08,47,5.152
 07-06-2024 22:10:09,46,7.043
 07-06-2024 22:10:10,45,6.791
 07-06-2024 22:10:11,51,11.356
 07-06-2024 22:10:12,46,6.282
 07-06-2024 22:10:13,46,7.893
 07-06-2024 22:10:14,44,7.021
 07-06-2024 22:10:15,48,14.357
 07-06-2024 22:10:16,55,12.501
 07-06-2024 22:10:17,51,7.981
 07-06-2024 22:10:18,52,7.812
 07-06-2024 22:10:19,46,6.165
 07-06-2024 22:10:20,47,10.183
 07-06-2024 22:10:21,44,6.074
 07-06-2024 22:10:22,49,8.639
 07-06-2024 22:10:23,46,7.288
 07-06-2024 22:10:24,49,9.65
 07-06-2024 22:10:25,46,9.518
 07-06-2024 22:10:26,45,6.421
 07-06-2024 22:10:27,51,10.987
 07-06-2024 22:10:28,44,6.457
 07-06-2024 22:10:29,49,6.261
 07-06-2024 22:10:30,44,7.698
 07-06-2024 22:10:31,46,8.508
 07-06-2024 22:10:32,45,6.675
 07-06-2024 22:10:33,46,9.709
 07-06-2024 22:10:34,48,12.731
 07-06-2024 22:10:35,51,12.104
 07-06-2024 22:10:36,47,9.476
 07-06-2024 22:10:37,49,7.79
 07-06-2024 22:10:38,49,8.391
 07-06-2024 22:10:39,45,9.628
 07-06-2024 22:10:40,51,7.149
 07-06-2024 22:10:41,47,7.311
 07-06-2024 22:10:42,46,6.515
 07-06-2024 22:10:43,49,8.311
 07-06-2024 22:10:44,45,6.299
 07-06-2024 22:10:45,48,9.993
 07-06-2024 22:10:46,44,6.226
 07-06-2024 22:10:47,49,6.189
 07-06-2024 22:10:48,44,8.985
 07-06-2024 22:10:49,50,6.672
 07-06-2024 22:10:50,46,7.689
 07-06-2024 22:10:51,48,6.729
 07-06-2024 22:10:52,47,7.582
 07-06-2024 22:10:53,46,9.14
 07-06-2024 22:10:54,48,10.434
 07-06-2024 22:10:55,45,9.003
 07-06-2024 22:10:56,51,5.967
 07-06-2024 22:10:57,45,6.988
 07-06-2024 22:10:58,48,6.458
 07-06-2024 22:10:59,48,13.089
 07-06-2024 22:11:00,45,6.741
 07-06-2024 22:11:01,49,8.167
 07-06-2024 22:11:02,49,16.004
 07-06-2024 22:11:03,52,11.123
 07-06-2024 22:11:04,46,7.845
 07-06-2024 22:11:05,46,6.433
 07-06-2024 22:11:06,51,8.33
 07-06-2024 22:11:07,44,5.668
 07-06-2024 22:11:08,51,6.869
 07-06-2024 22:11:09,51,6.529
 07-06-2024 22:11:10,50,11.209
 07-06-2024 22:11:11,45,11.939
 07-06-2024 22:11:12,52,7.153
 07-06-2024 22:11:13,51,8.193
 07-06-2024 22:11:14,45,6.892
 07-06-2024 22:11:15,54,8.554
 07-06-2024 22:11:16,45,7.081
 07-06-2024 22:11:17,52,13.334
 07-06-2024 22:11:18,46,8.203
 07-06-2024 22:11:19,52,14.214
 07-06-2024 22:11:20,49,14.206
 07-06-2024 22:11:21,49,12.813
 07-06-2024 22:11:22,47,12.51
 07-06-2024 22:11:23,50,10.668
 07-06-2024 22:11:24,52,11.451
 07-06-2024 22:11:25,52,12.938
 07-06-2024 22:11:26,44,6.406
 07-06-2024 22:11:27,47,7.385
 07-06-2024 22:11:28,45,6.697
 07-06-2024 22:11:29,49,7.025
 07-06-2024 22:11:30,45,8.616
 07-06-2024 22:11:31,48,7.023
 07-06-2024 22:11:32,46,7.908
 07-06-2024 22:11:33,46,6.586
 07-06-2024 22:11:34,49,8.476
 07-06-2024 22:11:35,45,6.751
 07-06-2024 22:11:36,52,6.577
 07-06-2024 22:11:37,45,6.936
 07-06-2024 22:11:38,51,6.948
 07-06-2024 22:11:39,45,9.583
 07-06-2024 22:11:40,54,5.819
 07-06-2024 22:11:41,46,8.411
 07-06-2024 22:11:42,49,6.06
 07-06-2024 22:11:43,49,10.191
 07-06-2024 22:11:44,47,7.101
 07-06-2024 22:11:45,50,9.216
 07-06-2024 22:11:46,45,7.019
 07-06-2024 22:11:47,50,10.622
 07-06-2024 22:11:48,47,10.067
 07-06-2024 22:11:49,49,6.267
 07-06-2024 22:11:50,46,7.573
 07-06-2024 22:11:51,47,5.451
 07-06-2024 22:11:52,48,7.781
 07-06-2024 22:11:53,45,6.29
 07-06-2024 22:11:54,51,8.147
 07-06-2024 22:11:55,44,6.541
 07-06-2024 22:11:56,49,9.645
 07-06-2024 22:11:57,46,9.772
 07-06-2024 22:11:58,48,10.837
 07-06-2024 22:11:59,48,9.206
 07-06-2024 22:12:00,49,11.58
 07-06-2024 22:12:01,49,10.217
 07-06-2024 22:12:02,50,9.204
 07-06-2024 22:12:03,47,13.866
 07-06-2024 22:12:04,47,11.318
 07-06-2024 22:12:05,49,8.008
 07-06-2024 22:12:06,46,8.728
 07-06-2024 22:12:07,46,6.743
 07-06-2024 22:12:08,51,10.238
 07-06-2024 22:12:09,53,10.819
 07-06-2024 22:12:10,50,12.757
 07-06-2024 22:12:11,46,7.833
 07-06-2024 22:12:12,54,11.673
 07-06-2024 22:12:13,45,7.802
 07-06-2024 22:12:14,49,10.677
 07-06-2024 22:12:15,52,12.67
 07-06-2024 22:12:16,54,11.708
 07-06-2024 22:12:17,50,9.943
 07-06-2024 22:12:18,51,12.675
 07-06-2024 22:12:19,51,13.083
 07-06-2024 22:12:20,51,16.244
 07-06-2024 22:12:21,46,7.632
 07-06-2024 22:12:22,48,9.375
 07-06-2024 22:12:23,46,8.293
 07-06-2024 22:12:24,51,8.642
 07-06-2024 22:12:25,45,9.276
 07-06-2024 22:12:26,51,9.346
 07-06-2024 22:12:27,56,13.858
 07-06-2024 22:12:28,47,15.311
 07-06-2024 22:12:29,49,6.708
 07-06-2024 22:12:30,46,8.322
 07-06-2024 22:12:31,51,7.581
 07-06-2024 22:12:32,55,12.791
 07-06-2024 22:12:33,45,11.739
 07-06-2024 22:12:34,49,11.556
 07-06-2024 22:12:35,49,8.287
 07-06-2024 22:12:36,47,12.637
 07-06-2024 22:12:37,47,8.78
 07-06-2024 22:12:38,50,8.552
 07-06-2024 22:12:39,46,8.4
 07-06-2024 22:12:40,46,6.276
 07-06-2024 22:12:41,49,7.417
 07-06-2024 22:12:42,52,7.305
 07-06-2024 22:12:43,49,8.838
 07-06-2024 22:12:44,46,9.308
 07-06-2024 22:12:45,46,7.248
 07-06-2024 22:12:46,45,5.436
 07-06-2024 22:12:47,49,6.379
 07-06-2024 22:12:48,46,7.642
 07-06-2024 22:12:49,47,6.52
 07-06-2024 22:12:50,48,8.583
 07-06-2024 22:12:51,47,10.789
 07-06-2024 22:12:52,50,8.396
 07-06-2024 22:12:53,45,6.521
 07-06-2024 22:12:54,47,6.537
 07-06-2024 22:12:55,46,7.911
 07-06-2024 22:12:56,47,6.074
 07-06-2024 22:12:57,45,9.535
 07-06-2024 22:12:58,51,6.019
 07-06-2024 22:12:59,49,7.647
