Czas,Temperatura procesora
 08-06-2024 12:57:42,42
 08-06-2024 12:57:43,44
 08-06-2024 12:57:44,43
 08-06-2024 12:57:45,42
 08-06-2024 12:57:46,43
 08-06-2024 12:57:47,42
 08-06-2024 12:57:48,42
 08-06-2024 12:57:49,43
 08-06-2024 12:57:50,42
 08-06-2024 12:57:51,42
 08-06-2024 12:57:52,42
 08-06-2024 12:57:53,42
 08-06-2024 12:57:54,41
 08-06-2024 12:57:55,42
 08-06-2024 12:57:56,42
 08-06-2024 12:57:57,43
 08-06-2024 12:57:58,50
 08-06-2024 12:57:59,44
 08-06-2024 12:58:00,42
 08-06-2024 12:58:01,42
 08-06-2024 12:58:02,43
 08-06-2024 12:58:03,42
 08-06-2024 12:58:04,43
 08-06-2024 12:58:05,42
 08-06-2024 12:58:06,43
 08-06-2024 12:58:07,54
 08-06-2024 12:58:08,42
 08-06-2024 12:58:09,43
 08-06-2024 12:58:10,42
 08-06-2024 12:58:11,42
 08-06-2024 12:58:12,41
 08-06-2024 12:58:13,42
 08-06-2024 12:58:14,42
 08-06-2024 12:58:15,42
 08-06-2024 12:58:16,42
 08-06-2024 12:58:17,42
 08-06-2024 12:58:18,41
 08-06-2024 12:58:19,42
 08-06-2024 12:58:20,42
 08-06-2024 12:58:21,42
 08-06-2024 12:58:22,42
 08-06-2024 12:58:23,42
 08-06-2024 12:58:24,42
 08-06-2024 12:58:25,41
 08-06-2024 12:58:26,42
 08-06-2024 12:58:27,42
 08-06-2024 12:58:28,43
 08-06-2024 12:58:29,43
 08-06-2024 12:58:30,42
 08-06-2024 12:58:31,43
 08-06-2024 12:58:32,42
 08-06-2024 12:58:33,42
 08-06-2024 12:58:34,42
 08-06-2024 12:58:35,42
 08-06-2024 12:58:36,41
 08-06-2024 12:58:37,42
 08-06-2024 12:58:38,42
 08-06-2024 12:58:39,42
 08-06-2024 12:58:40,42
 08-06-2024 12:58:41,42
 08-06-2024 12:58:42,42
 08-06-2024 12:58:43,42
 08-06-2024 12:58:44,42
 08-06-2024 12:58:45,42
 08-06-2024 12:58:46,42
 08-06-2024 12:58:47,42
 08-06-2024 12:58:48,42
 08-06-2024 12:58:49,42
 08-06-2024 12:58:50,42
 08-06-2024 12:58:51,42
 08-06-2024 12:58:52,42
 08-06-2024 12:58:53,42
 08-06-2024 12:58:54,42
 08-06-2024 12:58:55,42
 08-06-2024 12:58:56,42
 08-06-2024 12:58:57,42
 08-06-2024 12:58:58,42
 08-06-2024 12:58:59,41
 08-06-2024 12:59:00,41
 08-06-2024 12:59:01,43
 08-06-2024 12:59:02,42
 08-06-2024 12:59:03,41
 08-06-2024 12:59:04,42
 08-06-2024 12:59:05,41
 08-06-2024 12:59:06,41
 08-06-2024 12:59:07,42
 08-06-2024 12:59:08,41
 08-06-2024 12:59:09,42
 08-06-2024 12:59:10,42
 08-06-2024 12:59:11,41
 08-06-2024 12:59:12,42
 08-06-2024 12:59:13,44
 08-06-2024 12:59:14,43
 08-06-2024 12:59:15,43
 08-06-2024 12:59:16,42
 08-06-2024 12:59:17,42
 08-06-2024 12:59:18,42
 08-06-2024 12:59:19,41
 08-06-2024 12:59:20,42
 08-06-2024 12:59:21,42
 08-06-2024 12:59:22,42
 08-06-2024 12:59:23,41
 08-06-2024 12:59:24,42
 08-06-2024 12:59:25,42
 08-06-2024 12:59:26,42
 08-06-2024 12:59:27,42
 08-06-2024 12:59:28,41
 08-06-2024 12:59:29,42
 08-06-2024 12:59:30,50
 08-06-2024 12:59:31,41
 08-06-2024 12:59:32,41
 08-06-2024 12:59:33,42
 08-06-2024 12:59:34,42
 08-06-2024 12:59:35,42
 08-06-2024 12:59:36,41
 08-06-2024 12:59:37,42
 08-06-2024 12:59:38,43
 08-06-2024 12:59:39,47
 08-06-2024 12:59:40,42
 08-06-2024 12:59:41,42
 08-06-2024 12:59:42,42
 08-06-2024 12:59:43,41
 08-06-2024 12:59:44,41
 08-06-2024 12:59:45,42
 08-06-2024 12:59:46,42
 08-06-2024 12:59:47,42
 08-06-2024 12:59:48,42
 08-06-2024 12:59:49,49
 08-06-2024 12:59:50,42
 08-06-2024 12:59:51,41
 08-06-2024 12:59:52,43
 08-06-2024 12:59:53,42
 08-06-2024 12:59:54,42
 08-06-2024 12:59:55,43
 08-06-2024 12:59:56,42
 08-06-2024 12:59:57,42
 08-06-2024 12:59:58,41
 08-06-2024 12:59:59,43
 08-06-2024 13:00:00,49
 08-06-2024 13:00:01,42
 08-06-2024 13:00:02,45
 08-06-2024 13:00:03,42
 08-06-2024 13:00:04,42
 08-06-2024 13:00:05,44
 08-06-2024 13:00:06,42
 08-06-2024 13:00:07,45
 08-06-2024 13:00:08,41
