Czas,Temperatura procesora
 08-06-2024 12:47:53, 47.125              
 08-06-2024 12:47:54, 48.375              
 08-06-2024 12:47:55, 48.625              
 08-06-2024 12:47:56, 51.750              
 08-06-2024 12:47:57, 51.625              
 08-06-2024 12:47:58, 50.500              
 08-06-2024 12:47:59, 49.500              
 08-06-2024 12:48:00, 48.625              
 08-06-2024 12:48:01, 47.750              
 08-06-2024 12:48:02, 49.250              
 08-06-2024 12:48:03, 51.375              
 08-06-2024 12:48:04, 52.000              
 08-06-2024 12:48:05, 52.750              
 08-06-2024 12:48:06, 53.625              
 08-06-2024 12:48:07, 53.750              
 08-06-2024 12:48:08, 54.000              
 08-06-2024 12:48:09, 55.375              
 08-06-2024 12:48:10, 54.875              
 08-06-2024 12:48:11, 54.500              
 08-06-2024 12:48:12, 54.125              
 08-06-2024 12:48:13, 54.000              
 08-06-2024 12:48:14, 54.125              
 08-06-2024 12:48:15, 54.125              
 08-06-2024 12:48:16, 52.750              
 08-06-2024 12:48:17, 51.625              
 08-06-2024 12:48:18, 50.500              
 08-06-2024 12:48:19, 49.500              
 08-06-2024 12:48:20, 48.625              
 08-06-2024 12:48:21, 47.750              
 08-06-2024 12:48:22, 47.000              
 08-06-2024 12:48:23, 46.375              
 08-06-2024 12:48:24, 45.750              
 08-06-2024 12:48:25, 45.250              
 08-06-2024 12:48:26, 44.625              
 08-06-2024 12:48:27, 44.375              
 08-06-2024 12:48:28, 44.000              
 08-06-2024 12:48:29, 43.625              
 08-06-2024 12:48:30, 43.250              
 08-06-2024 12:48:31, 43.125              
 08-06-2024 12:48:32, 43.000              
 08-06-2024 12:48:33, 42.875              
 08-06-2024 12:48:34, 42.750              
 08-06-2024 12:48:35, 42.625              
 08-06-2024 12:48:36, 42.375              
 08-06-2024 12:48:37, 42.625              
 08-06-2024 12:48:38, 42.500              
 08-06-2024 12:48:39, 42.375              
 08-06-2024 12:48:40, 42.250              
 08-06-2024 12:48:41, 42.250              
 08-06-2024 12:48:42, 42.375              
 08-06-2024 12:48:43, 42.500              
 08-06-2024 12:48:44, 42.250              
 08-06-2024 12:48:45, 42.375              
 08-06-2024 12:48:46, 42.250              
 08-06-2024 12:48:47, 42.500              
 08-06-2024 12:48:48, 42.375              
 08-06-2024 12:48:49, 42.375              
 08-06-2024 12:48:50, 42.250              
 08-06-2024 12:48:51, 42.250              
 08-06-2024 12:48:52, 44.250              
 08-06-2024 12:48:53, 45.500              
 08-06-2024 12:48:54, 46.250              
 08-06-2024 12:48:55, 46.500              
 08-06-2024 12:48:56, 46.500              
 08-06-2024 12:48:57, 45.875              
 08-06-2024 12:48:58, 45.375              
 08-06-2024 12:48:59, 44.875              
 08-06-2024 12:49:00, 44.375              
 08-06-2024 12:49:01, 44.125              
 08-06-2024 12:49:02, 44.000              
 08-06-2024 12:49:03, 43.625              
 08-06-2024 12:49:04, 43.750              
 08-06-2024 12:49:05, 43.500              
 08-06-2024 12:49:06, 43.375              
 08-06-2024 12:49:07, 43.750              
 08-06-2024 12:49:08, 43.750              
 08-06-2024 12:49:09, 43.500              
 08-06-2024 12:49:10, 43.625              
 08-06-2024 12:49:11, 43.875              
 08-06-2024 12:49:12, 44.125              
 08-06-2024 12:49:13, 44.000              
 08-06-2024 12:49:14, 44.000              
 08-06-2024 12:49:15, 43.875              
 08-06-2024 12:49:16, 44.000              
 08-06-2024 12:49:17, 44.250              
 08-06-2024 12:49:18, 44.250              
 08-06-2024 12:49:19, 44.250              
 08-06-2024 12:49:20, 44.250              
 08-06-2024 12:49:21, 44.125              
 08-06-2024 12:49:22, 44.500              
 08-06-2024 12:49:23, 44.500              
 08-06-2024 12:49:24, 44.500              
 08-06-2024 12:49:25, 44.625              
 08-06-2024 12:49:26, 44.500              
 08-06-2024 12:49:27, 44.750              
 08-06-2024 12:49:28, 44.750              
 08-06-2024 12:49:29, 44.625              
 08-06-2024 12:49:30, 44.625              
 08-06-2024 12:49:31, 44.625              
 08-06-2024 12:49:32, 44.875              
 08-06-2024 12:49:33, 44.750              
 08-06-2024 12:49:34, 44.875              
 08-06-2024 12:49:35, 45.000              
